,model,theta_hat,ci,finetuned,dataset,metric,ci_low,ci_high,MG_sim,MG_acc,family,model_size
49,Qwen3‑VL (4B),0.7526058521415688,"[0.7027235332559045, 0.7929635852789662]",JS-Blind VQA (n=15),VQA,correct,0.7027235332559045,0.7929635852789662,19.2134,42.13428666666666,Qwen,4.0
51,Qwen3‑VL (4B),0.7627594129364647,"[0.7164248197025472, 0.8034131306818167]",SFT-Blind VQA,VQA,correct,0.7164248197025472,0.8034131306818167,19.162879999999998,42.100840000000005,Qwen,4.0
52,Qwen3‑VL (4B),0.4745366539784966,"[0.3968596045512977, 0.5488133923268184]",SFT-VQA,VQA,correct,0.3968596045512977,0.5488133923268184,21.82378,44.71402666666667,Qwen,4.0
53,Qwen3‑VL (8B),0.6336405686172154,"[0.569593043972621, 0.6900542839467544]",Pretrained,VQA,correct,0.569593043972621,0.6900542839467544,22.83588,44.97422666666667,Qwen,8.0
54,Qwen3‑VL (8B),0.5881622623032697,"[0.5163390356141416, 0.6524619770972876]",JS VQA (GT),VQA,correct,0.5163390356141416,0.6524619770972876,21.0147,43.82123333333333,Qwen,8.0
56,Qwen3‑VL (8B),0.5881622623032697,"[0.5163390356141416, 0.6524619770972876]",JS-Blind VQA (n=15),VQA,correct,0.5163390356141416,0.6524619770972876,21.0147,43.82123333333333,Qwen,8.0
58,Qwen3‑VL (8B),0.7573009802052277,"[0.7071150679129423, 0.800115299547848]",SFT-Blind VQA,VQA,correct,0.7071150679129423,0.800115299547848,18.94082,41.300959999999996,Qwen,8.0
60,LLaVA‑Mistral (7B),0.5009520341531837,"[0.42269666661551575, 0.5803616563323369]",Pretrained,VQA,correct,0.42269666661551575,0.5803616563323369,22.66444,43.62075333333333,LLaVA,7.0
61,LLaVA‑Mistral (7B),0.49722268729737507,"[0.4193918825732606, 0.5748104944943268]",JS VQA (GT),VQA,correct,0.4193918825732606,0.5748104944943268,18.972739999999998,40.35412,LLaVA,7.0
63,LLaVA‑Mistral (7B),0.777903602558192,"[0.734886271205085, 0.8167402047638188]",JS-Blind VQA (n=15),VQA,correct,0.734886271205085,0.8167402047638188,18.30348,39.01410666666666,LLaVA,7.0
65,LLaVA‑Mistral (7B),0.8119614842711679,"[0.776642065877628, 0.8406712265047744]",SFT-Blind VQA,VQA,correct,0.776642065877628,0.8406712265047744,18.10104,38.45399333333334,LLaVA,7.0
66,LLaVA‑Mistral (7B),0.4752757786899207,"[0.3926070302071971, 0.554486307836321]",SFT-VQA,VQA,correct,0.3926070302071971,0.554486307836321,18.36514,40.434259999999995,LLaVA,7.0
68,LLaVA‑1.5 (7B),0.4924770585964169,"[0.41363835774003166, 0.5711132777158656]",Pretrained,VQA,correct,0.41363835774003166,0.5711132777158656,22.103379999999998,41.41402,LLaVA,7.0
69,LLaVA‑Vicuna (7B),0.48903708088016484,"[0.40729852544473544, 0.5767271069546648]",Pretrained,VQA,correct,0.40729852544473544,0.5767271069546648,22.365119999999997,44.08092,LLaVA,7.0
